trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.9, 'e': 0.22594815553398728}",20,6,14.095934945291456,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.2236886739786474}",30,11,12.94533727587142,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.22145178723886091}",20,0,22.260583327489904,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.2192372693664723}",20,14,11.38234632435017,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.21704489667280757}",20,12,7.0864678929215295,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.2148744477060795}",30,9,28.57632308459061,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.2127257032290187}",20,9,17.43641548939715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.21059844619672852}",20,3,3.440132154292249,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.20849246173476124}",25,19,12.21936407987237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.2064075371174136}",30,4,4.011049051983982,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.20434346174623946}",25,13,-12.476782361201893,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.2023000271287771}",20,11,1.8352238044434412,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.20027702685748933}",25,8,14.601604363237419,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.19827425658891443}",25,13,-20.33764960489683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.9, 'e': 0.19629151402302528}",25,3,7.285931268469276,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.19432859888279502}",20,13,13.344572668049821,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.19238531289396707}",20,4,14.049483197820592,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.1904614597650274}",25,0,0.7318869827595829,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.9, 'e': 0.1885568451673771}",20,11,16.409947783808484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.18667127671570335}",20,16,7.032145447518595,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.1848045639485463}",30,21,6.48515421222082,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.18295651830906084}",20,2,-29.40588189344868,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.9, 'e': 0.18112695312597024}",25,13,2.5977163099472893,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.17931568359471053}",20,12,15.334971053444615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.17752252675876343}",30,17,4.726179099398814,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.1757473014911758}",35,21,29.6389246859445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.17398982847626404}",25,0,-44.8447630235979,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
